# time [s]; height [m]; vInf [m/s]; vHor [m/s]; vVer [m/s]
0.00000;62000.00000;114.29334;30.00000;0.00000
0.10000;61999.99533;114.22159;29.92822;-0.09204
0.20000;61999.98247;114.15033;29.85691;-0.15800
0.30000;61999.96274;114.07976;29.78624;-0.23522
0.40000;61999.93557;114.00974;29.71610;-0.30670
0.50000;61999.90127;113.94033;29.64655;-0.37798
0.60000;61999.85984;113.87151;29.57754;-0.44919
0.70000;61999.81127;113.80330;29.50911;-0.52064
0.80000;61999.75557;113.73567;29.44124;-0.59200
0.90000;61999.69274;113.66866;29.37395;-0.66314
1.00000;61999.62281;113.60223;29.30720;-0.73418
1.10000;61999.54578;113.53640;29.24104;-0.80500
1.20000;61999.46168;113.47116;29.17542;-0.87569
1.30000;61999.37049;113.40652;29.11038;-0.94658
1.40000;61999.27223;113.34246;29.04588;-1.01733
1.50000;61999.16690;113.27901;28.98196;-1.08783
1.60000;61999.05453;113.21614;28.91859;-1.15818
1.70000;61998.93512;113.15386;28.85579;-1.22869
1.80000;61998.80866;113.09217;28.79353;-1.29903
1.90000;61998.67516;113.03108;28.73185;-1.36953
2.00000;61998.53463;112.97056;28.67071;-1.43984
2.10000;61998.38707;112.91064;28.61014;-1.50986
2.20000;61998.23251;112.85130;28.55011;-1.58011
2.30000;61998.07093;112.79256;28.49065;-1.65005
2.40000;61997.90237;112.73438;28.43173;-1.71977
2.50000;61997.72683;112.67681;28.37338;-1.78961
2.60000;61997.54432;112.61980;28.31557;-1.85921
2.70000;61997.35485;112.56339;28.25832;-1.92890
2.80000;61997.15842;112.50754;28.20161;-1.99835
2.90000;61996.95504;112.45229;28.14547;-2.06788
3.00000;61996.74470;112.39761;28.08985;-2.13757
3.10000;61996.52741;112.34352;28.03481;-2.20689
3.20000;61996.30318;112.29000;27.98029;-2.27636
3.30000;61996.07200;112.23707;27.92634;-2.34588
3.40000;61995.83388;112.18470;27.87293;-2.41510
3.50000;61995.58884;112.13293;27.82007;-2.48436
3.60000;61995.33689;112.08171;27.76775;-2.55330
3.70000;61995.07805;112.03108;27.71599;-2.62226
3.80000;61994.81230;111.98101;27.66475;-2.69132
3.90000;61994.53965;111.93154;27.61407;-2.76038
4.00000;61994.26011;111.88261;27.56392;-2.82910
4.10000;61993.97369;111.83428;27.51433;-2.89780
4.20000;61993.68041;111.78650;27.46526;-2.96657
4.30000;61993.38025;111.73931;27.41675;-3.03531
4.40000;61993.07321;111.69267;27.36876;-3.10409
4.50000;61992.75930;111.64662;27.32133;-3.17283
4.60000;61992.43853;111.60111;27.27442;-3.24117
4.70000;61992.11093;111.55619;27.22807;-3.30946
4.80000;61991.77651;111.51182;27.18224;-3.37776
4.90000;61991.43525;111.46803;27.13696;-3.44599
5.00000;61991.08718;111.42478;27.09219;-3.51421
5.10000;61990.73228;111.38212;27.04798;-3.58234
5.20000;61990.37058;111.34000;27.00428;-3.65045
5.30000;61990.00207;111.29846;26.96114;-3.71845
5.40000;61989.62676;111.25746;26.91850;-3.78641
5.50000;61989.24464;111.21704;26.87641;-3.85467
5.60000;61988.85570;111.17717;26.83483;-3.92288
5.70000;61988.45994;111.13787;26.79380;-3.99094
5.80000;61988.05738;111.09911;26.75328;-4.05894
5.90000;61987.64803;111.06093;26.71332;-4.12678
6.00000;61987.23190;111.02328;26.67386;-4.19453
6.10000;61986.80900;110.98621;26.63495;-4.26212
6.20000;61986.37933;110.94967;26.59653;-4.33000
6.30000;61985.94288;110.91371;26.55867;-4.39772
6.40000;61985.49966;110.87827;26.52131;-4.46530
6.50000;61985.04968;110.84341;26.48448;-4.53310
6.60000;61984.59292;110.80908;26.44816;-4.60075
6.70000;61984.12941;110.77533;26.41239;-4.66820
6.80000;61983.65914;110.74210;26.37711;-4.73589
6.90000;61983.18211;110.70944;26.34238;-4.80337
7.00000;61982.69834;110.67730;26.30815;-4.87066
7.10000;61982.20784;110.64574;26.27445;-4.93813
7.20000;61981.71060;110.61469;26.24125;-5.00539
7.30000;61981.20662;110.58422;26.20859;-5.07282
7.40000;61980.69592;110.55427;26.17642;-5.14002
7.50000;61980.17848;110.52489;26.14479;-5.20737
7.60000;61979.65433;110.49602;26.11366;-5.27448
7.70000;61979.12345;110.46772;26.08306;-5.34173
7.80000;61978.58587;110.43994;26.05295;-5.40872
7.90000;61978.04157;110.41272;26.02338;-5.47583
8.00000;61977.49056;110.38601;25.99428;-5.54307
8.10000;61976.93285;110.35987;25.96574;-5.61001
8.20000;61976.36843;110.33424;25.93767;-5.67705
8.30000;61975.79730;110.30918;25.91013;-5.74420
8.40000;61975.21948;110.28462;25.88308;-5.81102
8.50000;61974.63497;110.26063;25.85656;-5.87793
8.60000;61974.04376;110.23714;25.83052;-5.94490
8.70000;61973.44586;110.21422;25.80501;-6.01195
8.80000;61972.84124;110.19180;25.77997;-6.07904
8.90000;61972.22994;110.16995;25.75548;-6.14578
9.00000;61971.61195;110.14856;25.73171;-6.20767
9.10000;61970.98751;110.12781;25.70797;-6.27975
9.20000;61970.35613;110.10755;25.68498;-6.34665
9.30000;61969.71806;110.08783;25.66251;-6.41344
9.40000;61969.07331;110.06863;25.64052;-6.48037
9.50000;61968.42187;110.04997;25.61905;-6.54716
9.60000;61967.76374;110.03182;25.59805;-6.61407
9.70000;61967.09893;110.01421;25.57758;-6.68084
9.80000;61966.42744;109.99711;25.55758;-6.74771
9.90000;61965.74928;109.98055;25.53810;-6.81441
10.00000;61965.06443;109.96450;25.51910;-6.88120
10.10000;61964.37292;109.94899;25.50061;-6.94781
10.20000;61963.67474;109.93398;25.48260;-7.01448
10.30000;61962.96991;109.91950;25.46511;-7.08097
10.40000;61962.25842;109.90553;25.44808;-7.14749
10.50000;61961.54027;109.89210;25.43156;-7.21423
10.60000;61960.81545;109.87917;25.41550;-7.28098
10.70000;61960.08396;109.86677;25.39997;-7.34752
10.80000;61959.34582;109.85487;25.38490;-7.41406
10.90000;61958.60101;109.84350;25.37033;-7.48079
11.00000;61957.84954;109.83263;25.35623;-7.54749
11.10000;61957.09140;109.82229;25.34264;-7.61396
11.20000;61956.32662;109.81245;25.32953;-7.68039
